word,phonetic,translation,bookId
certificate,/səˈtɪfɪkət/,n. 证书; 证明,CET6,1
catastrophe,/kəˈtæstrəfi/,n. 灾难; 大祸,CET6,1
bizarre,/bɪˈzɑː/,adj. 奇异的; 古怪的,CET6,0
circulation,/ˌsɜːkjəˈleɪʃn/,n. 循环; 流通,CET6,1
tempt,/tempt/,v. 引诱; 吸引,CET6,0
authoritative,/ɔːˈθɒrɪtətɪv/,adj. 权威的; 专断的,CET6,1
brochure,/ˈbrəʊʃə/,n. 小册子; 手册,CET6,0
controversy,/ˈkɒntrəvɜːsi/,n. 争论; 争议,CET6,1
cynical,/ˈsɪnɪkl/,adj. 愤世嫉俗的,CET6,0
breakthrough,/ˈbreɪkθruː/,n. 突破; 重大进展,CET6,1
elite,/eɪˈliːt/,n. 精英; 上层人士,CET6,0
entrepreneur,/ˌɒntrəprəˈnɜː/,n. 企业家,CET6,1
defy,/dɪˈfaɪ/,v. 违抗; 藐视,CET6,0
hospitality,/ˌhɒspɪˈtæləti/,n. 好客; 款待,CET6,1
integrate,/ˈɪntɪɡreɪt/,v. 整合; 融入,CET6,0
magnificent,/mæɡˈnɪfɪsnt/,adj. 壮丽的; 宏伟的,CET6,1
brutal,/ˈbruːtl/,adj. 残忍的; 野蛮的,CET6,0
independence,/ˌɪndɪˈpendəns/,n. 独立; 自主,CET6,1
haunt,/hɔːnt/,v. 萦绕; 常出没于,CET6,0
extraordinary,/ɪkˈstrɔːdnri/,adj. 非凡的; 特别的,CET6,1
cling,/klɪŋ/,v. 紧抓; 依恋,CET6,0
coincidence,/kəʊˈɪnsɪdəns/,n. 巧合; 一致,CET6,1
verify,/ˈverɪfaɪ/,v. 核实; 证明,CET6,0
identification,/aɪˌdentɪfɪˈkeɪʃn/,n. 识别; 身份证明,CET6,1
intrinsic,/ɪnˈtrɪnsɪk/,adj. 内在的; 固有的,CET6,0
justification,/ˌdʒʌstɪfɪˈkeɪʃn/,n. 正当理由; 辩护,CET6,1
flaw,/flɔː/,n. 缺陷; 瑕疵,CET6,0
indispensable,/ˌɪndɪˈspensəbl/,adj. 不可或缺的,CET6,1
submarine,/ˌsʌbməˈriːn/,n. 潜艇,CET6,0
questionnaire,/ˌkwestʃəˈneə/,n. 问卷; 调查表,CET6,1
obscene,/əbˈsiːn/,adj. 猥亵的; 下流的,CET6,0
comprehensive,/ˌkɒmprɪˈhensɪv/,adj. 全面的; 综合的,CET6,1
probe,/prəʊb/,v. 探查; 探究,CET6,0
revolutionary,/ˌrevəˈluːʃənəri/,adj. 革命的; 革命性的,CET6,1
bid,/bɪd/,v. 出价; 投标; 努力尝试,CET6,0
allege,/əˈledʒ/,v. 指控; 宣称,CET6,0
sarcasm,/ˈsɑːkæzəm/,n. 讽刺; 挖苦,CET6,0
cumulative,/ˈkjuːmjələtɪv/,adj. 累积的,CET6,0
allocate,/ˈæləkeɪt/,v. 分配; 拨出,CET6,0
dilemma,/dɪˈlemə/,n. 困境; 进退两难,CET6,0
commonplace,/ˈkɒmənpleɪs/,adj. 平凡的; 普通的,CET6,1
terminate,/ˈtɜːmɪneɪt/,v. 终止; 结束,CET6,0
flock,/flɒk/,v. 聚集; 蜂拥; n. 群,CET6,0
legislation,/ˌledʒɪsˈleɪʃn/,n. 立法; 法规,CET6,1
cue,/kjuː/,n. 提示; 暗示,CET6,0
representation,/ˌreprɪzenˈteɪʃn/,n. 代表; 表现,CET6,1
glare,/ɡleə/,v. 怒视; 发出强光,CET6,0
superficial,/ˌsuːpəˈfɪʃl/,adj. 表面的; 肤浅的,CET6,1
destiny,/ˈdestəni/,n. 命运; 天命,CET6,0
cooperative,/kəʊˈɒpərətɪv/,adj. 合作的; 协作的,CET6,1
distort,/dɪˈstɔːt/,v. 扭曲; 歪曲,CET6,0
compensate,/ˈkɒmpenseɪt/,v. 补偿; 弥补,CET6,0
criterion,/kraɪˈtɪəriən/,n. 标准; 准则,CET6,0
denote,/dɪˈnəʊt/,v. 表示; 意味着,CET6,0
forthcoming,/ˌfɔːθˈkʌmɪŋ/,adj. 即将来临的,CET6,1
impose,/ɪmˈpəʊz/,v. 强加; 征税,CET6,0
settlement,/ˈsetlmənt/,n. 解决; 协议; 定居点,CET6,1
ignite,/ɪɡˈnaɪt/,v. 点燃; 激起,CET6,0
bureaucracy,/bjʊəˈrɒkrəsi/,n. 官僚机构; 官僚作风,CET6,1
physician,/fɪˈzɪʃn/,n. 医生; 内科医生,CET6,0
masterpiece,/ˈmɑːstəpiːs/,n. 杰作; 代表作,CET6,1
murmur,/ˈmɜːmə/,v. 低语; 喃喃地说,CET6,0
vulnerable,/ˈvʌlnərəbl/,adj. 易受伤的; 脆弱的,CET6,0
chronic,/ˈkrɒnɪk/,adj. 慢性的; 长期的,CET6,0
reciprocal,/rɪˈsɪprəkl/,adj. 互惠的; 相互的,CET6,0
stereotype,/ˈsteriətaɪp/,n. 刻板印象; 老套模式,CET6,0
client,/ˈklaɪənt/,n. 客户; 委托人,CET6,0
transaction,/trænˈzækʃn/,n. 交易; 事务,CET6,1
warrant,/ˈwɒrənt/,v. 保证; 授权; n. 令状,CET6,0
bibliography,/ˌbɪbliˈɒɡrəfi/,n. 参考书目; 文献学,CET6,1
embed,/ɪmˈbed/,v. 嵌入; 植入,CET6,0
configuration,/kənˌfɪɡəˈreɪʃn/,n. 配置; 布局,CET6,1
menace,/ˈmenəs/,n. 威胁; 恐吓,CET6,0
metropolitan,/ˌmetrəˈpɒlɪtən/,adj. 大都市的,CET6,1
plead,/pliːd/,v. 恳求; 申辩,CET6,0
cathedral,/kəˈθiːdrəl/,n. 大教堂,CET6,0
ascertain,/ˌæsəˈteɪn/,v. 查明; 确定,CET6,0
slaughter,/ˈslɔːtə/,v./n. 屠杀; 屠宰,CET6,0
differentiate,/ˌdɪfəˈrenʃieɪt/,v. 区分; 辨别,CET6,1
baffle,/ˈbæfl/,v. 使困惑; 难倒,CET6,0
collaboration,/kəˌlæbəˈreɪʃn/,n. 合作; 协作,CET6,1
scrutiny,/ˈskruːtəni/,n. 仔细检查; 审查,CET6,0
qualitative,/ˈkwɒlɪtətɪv/,adj. 定性的; 性质的,CET6,1
cite,/saɪt/,v. 引用; 引证,CET6,0
magnify,/ˈmæɡnɪfaɪ/,v. 放大; 夸大,CET6,0
monarchy,/ˈmɒnəki/,n. 君主制; 君主国,CET6,0
adolescent,/ˌædəˈlesnt/,n. 青少年; adj. 青春期的,CET6,0
contend,/kənˈtend/,v. 竞争; 争论,CET6,0
interpretation,/ɪnˌtɜːprɪˈteɪʃn/,n. 解释; 演绎,CET6,1
commute,/kəˈmjuːt/,v. 通勤; 减轻,CET6,0
transparent,/trænsˈpærənt/,adj. 透明的; 明显的,CET6,1
outset,/ˈaʊtset/,n. 开始; 开端,CET6,0
revelation,/ˌrevəˈleɪʃn/,n. 揭露; 启示,CET6,1
simulate,/ˈsɪmjuleɪt/,v. 模拟; 假装,CET6,0
terrain,/təˈreɪn/,n. 地形; 地带,CET6,0
manuscript,/ˈmænjuskrɪpt/,n. 手稿; 原稿,CET6,0
wholesale,/ˈhəʊlseɪl/,adj. 批发的; 大规模的,CET6,0
