sample_no,time_ms,time_s,wave_state,dac_code_dec,spi_word_hex,dac_vout_v,equiv_bipolar_v
0,0,0,LOW,0,0x3000,0,-20
1,5,0.005,LOW,0,0x3000,0,-20
2,10,0.01,LOW,0,0x3000,0,-20
3,15,0.015,LOW,0,0x3000,0,-20
4,20,0.02,LOW,0,0x3000,0,-20
5,25,0.025,LOW,0,0x3000,0,-20
6,30,0.03,LOW,0,0x3000,0,-20
7,35,0.035,LOW,0,0x3000,0,-20
8,40,0.04,HIGH,4095,0x3FFF,4.9988,20
9,45,0.045,HIGH,4095,0x3FFF,4.9988,20
10,50,0.05,HIGH,4095,0x3FFF,4.9988,20
11,55,0.055,HIGH,4095,0x3FFF,4.9988,20
12,60,0.06,HIGH,4095,0x3FFF,4.9988,20
13,65,0.065,HIGH,4095,0x3FFF,4.9988,20
14,70,0.07,HIGH,4095,0x3FFF,4.9988,20
15,75,0.075,HIGH,4095,0x3FFF,4.9988,20
16,80,0.08,LOW,0,0x3000,0,-20
17,85,0.085,LOW,0,0x3000,0,-20
18,90,0.09,LOW,0,0x3000,0,-20
19,95,0.095,LOW,0,0x3000,0,-20
20,100,0.1,LOW,0,0x3000,0,-20
21,105,0.105,LOW,0,0x3000,0,-20
22,110,0.11,LOW,0,0x3000,0,-20
23,115,0.115,LOW,0,0x3000,0,-20
24,120,0.12,HIGH,4095,0x3FFF,4.9988,20
25,125,0.125,HIGH,4095,0x3FFF,4.9988,20
26,130,0.13,HIGH,4095,0x3FFF,4.9988,20
27,135,0.135,HIGH,4095,0x3FFF,4.9988,20
28,140,0.14,HIGH,4095,0x3FFF,4.9988,20
29,145,0.145,HIGH,4095,0x3FFF,4.9988,20
30,150,0.15,HIGH,4095,0x3FFF,4.9988,20
31,155,0.155,HIGH,4095,0x3FFF,4.9988,20
32,160,0.16,LOW,0,0x3000,0,-20
33,165,0.165,LOW,0,0x3000,0,-20
34,170,0.17,LOW,0,0x3000,0,-20
35,175,0.175,LOW,0,0x3000,0,-20
36,180,0.18,LOW,0,0x3000,0,-20
37,185,0.185,LOW,0,0x3000,0,-20
38,190,0.19,LOW,0,0x3000,0,-20
39,195,0.195,LOW,0,0x3000,0,-20
40,200,0.2,HIGH,4095,0x3FFF,4.9988,20
41,205,0.205,HIGH,4095,0x3FFF,4.9988,20
42,210,0.21,HIGH,4095,0x3FFF,4.9988,20
43,215,0.215,HIGH,4095,0x3FFF,4.9988,20
44,220,0.22,HIGH,4095,0x3FFF,4.9988,20
45,225,0.225,HIGH,4095,0x3FFF,4.9988,20
46,230,0.23,HIGH,4095,0x3FFF,4.9988,20
47,235,0.235,HIGH,4095,0x3FFF,4.9988,20
48,240,0.24,LOW,0,0x3000,0,-20
49,245,0.245,LOW,0,0x3000,0,-20
50,250,0.25,LOW,0,0x3000,0,-20
51,255,0.255,LOW,0,0x3000,0,-20
52,260,0.26,LOW,0,0x3000,0,-20
53,265,0.265,LOW,0,0x3000,0,-20
54,270,0.27,LOW,0,0x3000,0,-20
55,275,0.275,LOW,0,0x3000,0,-20
56,280,0.28,HIGH,4095,0x3FFF,4.9988,20
57,285,0.285,HIGH,4095,0x3FFF,4.9988,20
58,290,0.29,HIGH,4095,0x3FFF,4.9988,20
59,295,0.295,HIGH,4095,0x3FFF,4.9988,20
60,300,0.3,HIGH,4095,0x3FFF,4.9988,20
61,305,0.305,HIGH,4095,0x3FFF,4.9988,20
62,310,0.31,HIGH,4095,0x3FFF,4.9988,20
63,315,0.315,HIGH,4095,0x3FFF,4.9988,20
64,320,0.32,LOW,0,0x3000,0,-20
65,325,0.325,LOW,0,0x3000,0,-20
66,330,0.33,LOW,0,0x3000,0,-20
67,335,0.335,LOW,0,0x3000,0,-20
68,340,0.34,LOW,0,0x3000,0,-20
69,345,0.345,LOW,0,0x3000,0,-20
70,350,0.35,LOW,0,0x3000,0,-20
71,355,0.355,LOW,0,0x3000,0,-20
72,360,0.36,HIGH,4095,0x3FFF,4.9988,20
73,365,0.365,HIGH,4095,0x3FFF,4.9988,20
74,370,0.37,HIGH,4095,0x3FFF,4.9988,20
75,375,0.375,HIGH,4095,0x3FFF,4.9988,20
76,380,0.38,HIGH,4095,0x3FFF,4.9988,20
77,385,0.385,HIGH,4095,0x3FFF,4.9988,20
78,390,0.39,HIGH,4095,0x3FFF,4.9988,20
79,395,0.395,HIGH,4095,0x3FFF,4.9988,20
80,400,0.4,LOW,0,0x3000,0,-20
81,405,0.405,LOW,0,0x3000,0,-20
82,410,0.41,LOW,0,0x3000,0,-20
83,415,0.415,LOW,0,0x3000,0,-20
84,420,0.42,LOW,0,0x3000,0,-20
85,425,0.425,LOW,0,0x3000,0,-20
86,430,0.43,LOW,0,0x3000,0,-20
87,435,0.435,LOW,0,0x3000,0,-20
88,440,0.44,HIGH,4095,0x3FFF,4.9988,20
89,445,0.445,HIGH,4095,0x3FFF,4.9988,20
90,450,0.45,HIGH,4095,0x3FFF,4.9988,20
91,455,0.455,HIGH,4095,0x3FFF,4.9988,20
92,460,0.46,HIGH,4095,0x3FFF,4.9988,20
93,465,0.465,HIGH,4095,0x3FFF,4.9988,20
94,470,0.47,HIGH,4095,0x3FFF,4.9988,20
95,475,0.475,HIGH,4095,0x3FFF,4.9988,20
96,480,0.48,LOW,0,0x3000,0,-20
97,485,0.485,LOW,0,0x3000,0,-20
98,490,0.49,LOW,0,0x3000,0,-20
99,495,0.495,LOW,0,0x3000,0,-20
100,500,0.5,LOW,0,0x3000,0,-20
