epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.2347,3.55169,3.032,1.56976,0.05929,0.1412,0.06236,0.02427,2.83547,2.38254,1.23663,0.00033251,0.00033251,0.0670815
2,178.246,2.66498,2.24625,1.17338,0.34354,0.1202,0.09373,0.04197,2.31973,1.84486,1.11908,0.000661449,0.000661449,0.0340771
3,263.316,2.34907,1.93951,1.09096,0.18832,0.16222,0.11708,0.05464,2.2259,1.83435,1.07158,0.000985988,0.000985988,0.00106829
4,346.445,2.17618,1.78073,1.0527,0.22288,0.17728,0.14027,0.07053,1.99696,1.55196,1.02574,0.0009802,0.0009802,0.0009802
5,430.245,2.07485,1.6789,1.02973,0.24572,0.19108,0.15218,0.07782,1.94633,1.51081,1.01398,0.0009736,0.0009736,0.0009736
6,512.897,2.00918,1.60709,1.01375,0.25616,0.20259,0.17291,0.08898,1.89022,1.45403,0.9979,0.000967,0.000967,0.000967
7,599.259,1.96336,1.55566,0.99946,0.26557,0.21817,0.1851,0.09493,1.8289,1.39162,0.98215,0.0009604,0.0009604,0.0009604
8,683.138,1.91614,1.50869,0.98968,0.28286,0.22899,0.19806,0.1028,1.81249,1.37475,0.97422,0.0009538,0.0009538,0.0009538
9,791.476,1.88596,1.47143,0.98284,0.30012,0.23196,0.2058,0.10833,1.78487,1.35781,0.96728,0.0009472,0.0009472,0.0009472
10,874.004,1.85017,1.43088,0.97554,0.32686,0.24437,0.22141,0.11831,1.7397,1.30689,0.9606,0.0009406,0.0009406,0.0009406
11,957.503,1.82134,1.39663,0.96462,0.3079,0.23584,0.21583,0.11454,1.75634,1.31079,0.95842,0.000934,0.000934,0.000934
12,1042.66,1.80034,1.37699,0.96023,0.34395,0.25162,0.22977,0.12313,1.73594,1.3233,0.95718,0.0009274,0.0009274,0.0009274
13,1125.1,1.7803,1.35687,0.95865,0.35998,0.25569,0.24403,0.13139,1.69023,1.26298,0.9455,0.0009208,0.0009208,0.0009208
14,1207.95,1.75255,1.32688,0.95115,0.34466,0.26401,0.25333,0.13837,1.66731,1.236,0.94543,0.0009142,0.0009142,0.0009142
15,1290.48,1.74494,1.31578,0.94969,0.35686,0.26811,0.25595,0.13975,1.64002,1.22338,0.94042,0.0009076,0.0009076,0.0009076
16,1373.14,1.73356,1.29863,0.94619,0.34238,0.27889,0.25548,0.13899,1.65619,1.24051,0.93611,0.000901,0.000901,0.000901
17,1455.65,1.70811,1.27218,0.94425,0.35803,0.28574,0.26929,0.14828,1.62825,1.19422,0.93313,0.0008944,0.0008944,0.0008944
18,1538.71,1.70959,1.27696,0.94161,0.3674,0.27713,0.26196,0.14562,1.63124,1.20267,0.93638,0.0008878,0.0008878,0.0008878
19,1621.85,1.69101,1.25734,0.93811,0.36958,0.27748,0.26763,0.1463,1.61569,1.18965,0.9295,0.0008812,0.0008812,0.0008812
20,1704.3,1.68079,1.24904,0.93613,0.37982,0.28913,0.27795,0.15339,1.60679,1.17883,0.9307,0.0008746,0.0008746,0.0008746
21,1786.79,1.67704,1.24012,0.93625,0.38211,0.29174,0.27818,0.15369,1.5916,1.16445,0.92769,0.000868,0.000868,0.000868
22,1869.68,1.6553,1.22009,0.93135,0.37808,0.30137,0.28453,0.15647,1.58195,1.1552,0.92274,0.0008614,0.0008614,0.0008614
23,1952.39,1.66027,1.21611,0.93102,0.39506,0.29851,0.28918,0.16047,1.57096,1.13991,0.92024,0.0008548,0.0008548,0.0008548
24,2036.17,1.643,1.20768,0.92735,0.38883,0.29477,0.28688,0.16014,1.576,1.15289,0.92085,0.0008482,0.0008482,0.0008482
25,2119.75,1.64423,1.1982,0.92535,0.40861,0.30192,0.29938,0.16775,1.55924,1.13303,0.91893,0.0008416,0.0008416,0.0008416
26,2202.03,1.62657,1.18113,0.92236,0.39567,0.30205,0.29455,0.16482,1.54682,1.12421,0.91822,0.000835,0.000835,0.000835
27,2285.14,1.62357,1.18087,0.92229,0.40464,0.30638,0.29927,0.16662,1.55667,1.12993,0.9177,0.0008284,0.0008284,0.0008284
28,2368.47,1.61486,1.16802,0.91959,0.4007,0.30939,0.29808,0.16519,1.55856,1.12614,0.91754,0.0008218,0.0008218,0.0008218
29,2451.74,1.61104,1.16234,0.91733,0.40897,0.31505,0.31048,0.17294,1.53155,1.10725,0.91247,0.0008152,0.0008152,0.0008152
30,2534.99,1.6092,1.15721,0.91648,0.4049,0.32138,0.31033,0.17311,1.52273,1.1012,0.91135,0.0008086,0.0008086,0.0008086
31,2618.18,1.6063,1.1525,0.91484,0.40913,0.31217,0.30547,0.17137,1.52452,1.10224,0.91011,0.000802,0.000802,0.000802
32,2700.86,1.59167,1.14305,0.91463,0.41236,0.31694,0.30787,0.17459,1.52095,1.10134,0.90853,0.0007954,0.0007954,0.0007954
33,2783.51,1.59087,1.14006,0.91461,0.40596,0.32645,0.31507,0.17804,1.51043,1.08769,0.90717,0.0007888,0.0007888,0.0007888
