epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.993,4.08644,3.72639,2.87818,0.82685,0.02657,0.03269,0.01085,3.08139,2.70139,1.6271,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,199.548,2.70927,2.2844,1.48492,0.16746,0.13206,0.08743,0.03903,2.30887,1.84019,1.25551,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,285.366,2.32826,1.89719,1.2541,0.17092,0.15369,0.11324,0.05252,2.10362,1.63262,1.15117,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,366.941,2.10557,1.68487,1.16006,0.23599,0.19775,0.15691,0.07926,1.86591,1.42761,1.0725,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,448.727,1.96588,1.53648,1.10888,0.27183,0.22514,0.19024,0.09665,1.77886,1.33116,1.0469,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,529.867,1.87985,1.4437,1.07853,0.31078,0.23852,0.21511,0.11322,1.70811,1.28233,1.02623,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,614.054,1.83089,1.38998,1.05619,0.30685,0.25163,0.22543,0.11981,1.68752,1.24911,1.01293,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,696.655,1.77464,1.34209,1.04082,0.33903,0.26245,0.2422,0.1269,1.6652,1.20638,1.00574,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,827.501,1.74462,1.30638,1.02975,0.34398,0.273,0.25525,0.13729,1.61176,1.18173,0.994,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,909.022,1.70982,1.26806,1.01993,0.36249,0.27453,0.26047,0.13923,1.59064,1.15756,0.98784,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,990.63,1.68592,1.23433,1.00678,0.36462,0.28052,0.26471,0.14286,1.5781,1.14566,0.98177,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1072.18,1.66731,1.21783,0.99946,0.39071,0.29044,0.27948,0.14921,1.55921,1.12462,0.97699,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1153.58,1.64828,1.20274,0.99695,0.39121,0.29309,0.28271,0.15127,1.57229,1.13408,0.97531,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1235.07,1.63201,1.18744,0.98796,0.38947,0.29771,0.28989,0.15994,1.55143,1.12281,0.96713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
