"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-2.51626234804555
1.55,-3.01380232274834
1.6,-3.59698573665572
1.65,-4.2736292525288
1.7,-5.04951218876445
1.75,-5.92756013822327
1.8,-6.9069628908587
1.85,-7.98204205261892
1.9,-9.14051294615643
1.95,-10.3606933327916
2,-11.6074672282035
2.05,-12.8279898457102
2.1,-13.9508864925393
2.15,-14.8959616134062
2.2,-15.5989324529314
2.25,-16.0407401382344
2.3,-16.2572360742858
2.35,-16.3196253962805
2.4,-16.3045015090893
2.45,-16.2747973278595
2.5,-16.2753345878688
2.55,-16.3362829799145
2.6,-16.4785359040229
2.65,-16.7184631655217
2.7,-17.0716478037712
2.75,-17.5560367642527
2.8,-18.1952130818112
2.85,-19.0227738879966
2.9,-20.0894987450831
2.95,-21.4768853066264
3,-23.3259567835211
3.05,-25.9062393914493
3.1,-29.7868081916821
3.15,-35.4535856915265
3.2,-33.4332176757608
3.25,-27.6098700017629
3.3,-23.6729526804324
3.35,-20.8190218208053
3.4,-18.5907515302631
3.45,-16.7657197643075
3.5,-15.2228440786167
3.55,-13.8895995810955
3.6,-12.7193290895631
3.65,-11.6803950307944
3.7,-10.7505198830155
3.75,-9.91361967561357
3.8,-9.15792137746886
3.85,-8.47476931834998
3.9,-7.85780312468752
3.95,-7.30232868561552
4,-6.80478541459187
4.05,-6.36227102271038
4.1,-5.97212894450773
4.15,-5.63163029030694
4.2,-5.33778530385734
4.25,-5.08729881610665
4.3,-4.87665119834083
4.35,-4.70225821265847
4.4,-4.56065306031059
4.45,-4.44864349714676
4.5,-4.36341785526329
4.55,-4.30259529444922
4.6,-4.2642304372681
4.65,-4.24678903270988
4.7,-4.24911145710642
4.75,-4.2703777959896
4.8,-4.31008444865446
4.85,-4.36803901298088
4.9,-4.4443779976845
4.95,-4.53961031501477
5,-4.65468758886043
5.05,-4.79109841901536
5.1,-4.95097513974494
5.15,-5.13718410995006
5.2,-5.35333893235127
5.25,-5.60362720445416
5.3,-5.89228476244917
5.35,-6.22252885458285
5.4,-6.59486891106206
5.45,-7.00507349882001
5.5,-7.44267622308188
5.55,-7.89134682799736
5.6,-8.33197243445903
5.65,-8.7476257247468
5.7,-9.12796009768941
5.75,-9.47076879013091
5.8,-9.78046011346382
5.85,-10.0650109845132
5.9,-10.3331523381169
5.95,-10.5926310310085
6,-10.8495219618361
6.05,-11.1082066999267
6.1,-11.3716521421846
6.15,-11.6417610711625
6.2,-11.9196883993382
6.25,-12.2060896834687
6.3,-12.5013024391252
6.35,-12.8054726483687
6.4,-13.1186405309403
6.45,-13.4407975833929
6.5,-13.7719240089503
