"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-3.32438985958483
1.55,-3.61319495725842
1.6,-3.93082295383551
1.65,-4.27373438458727
1.7,-4.63845069771206
1.75,-5.02157901037635
1.8,-5.41980279891845
1.85,-5.82984303103463
1.9,-6.24839592332101
1.95,-6.67205494488446
2,-7.09722629735969
2.05,-7.52004876346788
2.1,-7.93632922212724
2.15,-8.34150074445689
2.2,-8.73059423436842
2.25,-9.09817832402427
2.3,-9.43816552251767
2.35,-9.74334617874361
2.4,-10.0046288479334
2.45,-10.2104332446575
2.5,-10.3473957274926
2.55,-10.4035019398019
2.6,-10.3727842157576
2.65,-10.2583229999496
2.7,-10.0711612850342
2.75,-9.82638964432719
2.8,-9.5393747805714
2.85,-9.22369665479744
2.9,-8.89059200624372
2.95,-8.54915083925135
3,-8.20672919177655
3.05,-7.86934795051452
3.1,-7.54202088411831
3.15,-7.22902101614952
3.2,-6.93411288890795
3.25,-6.66078436455098
3.3,-6.41252060094369
3.35,-6.19318268802222
3.4,-6.00759369661376
3.45,-5.86251442455878
3.5,-5.76835019682421
3.55,-5.74225557463968
3.6,-5.8139829817406
3.65,-6.03724882912357
3.7,-6.51235689672557
3.75,-7.4319189703061
3.8,-9.17659796045203
3.85,-12.5646266676995
3.9,-20.1756099097779
3.95,-25.3194641875588
4,-15.2863930873748
4.05,-11.5062949506863
4.1,-9.49527927780405
4.15,-8.27477277955374
4.2,-7.47491131318121
4.25,-6.92428311462533
4.3,-6.53511614668022
4.35,-6.26016848533398
4.4,-6.07382511367925
4.45,-5.96293471826035
4.5,-5.92199994363968
4.55,-5.95044510135139
4.6,-6.050902793158
4.65,-6.22797211643328
4.7,-6.48709893671901
4.75,-6.83322467106891
4.8,-7.2685966028132
4.85,-7.78839473085922
4.9,-8.37110268609607
4.95,-8.95768544965193
5,-9.41711948275801
5.05,-9.55936797221575
5.1,-9.47938237727971
5.15,-10.0800588753158
5.2,-11.7793367191108
5.25,-13.5615563910086
5.3,-14.3777979709971
5.35,-13.9328391380783
5.4,-12.7344109406907
5.45,-11.3441680318724
5.5,-10.0347798804733
5.55,-8.90236673152808
5.6,-7.98090126478482
5.65,-7.29096617310573
5.7,-6.85610619872702
5.75,-6.70619036112705
5.8,-6.87489703393905
5.85,-7.39435011285426
5.9,-8.28855261305597
5.95,-9.5630979780505
6,-11.1742648809961
6.05,-12.9274297720965
6.1,-14.270218144635
6.15,-14.4194320302931
6.2,-13.3651921554381
6.25,-11.8523134205679
6.3,-10.3829503549476
6.35,-9.1078197875672
6.4,-8.03663942648197
6.45,-7.14214947302405
6.5,-6.39238302877756
