"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-3.74382987942261
1.55,-4.07455557684301
1.6,-4.43246887263585
1.65,-4.81780135730989
1.7,-5.23034957009996
1.75,-5.669471714847
1.8,-6.1340960043312
1.85,-6.62273615891149
1.9,-7.13350861705477
1.95,-7.66414587906851
2,-8.2120011211731
2.05,-8.7740407056118
2.1,-9.34682335023494
2.15,-9.92646737903497
2.2,-10.508610514327
2.25,-11.0883698813947
2.3,-11.6603128914407
2.35,-12.2184517882709
2.4,-12.7562749610038
2.45,-13.2668256975663
2.5,-13.7428335245635
2.55,-14.1768957041207
2.6,-14.5616998228554
2.65,-14.8902768862962
2.7,-15.1562805666466
2.75,-15.3542993941931
2.8,-15.4802142913542
2.85,-15.5315999126006
2.9,-15.5081285927535
2.95,-15.4118842275223
3,-15.2474639692474
3.05,-15.0217712857186
3.1,-14.7434873945148
3.15,-14.4223114346923
3.2,-14.0681288847495
3.25,-13.690271428345
3.3,-13.2969791190832
3.35,-12.8951024598703
3.4,-12.4900212834164
3.45,-12.0857245384036
3.5,-11.6849885116808
3.55,-11.2896007528213
3.6,-10.9005929456665
3.65,-10.5184615483276
3.7,-10.1433671635583
3.75,-9.77531165054528
3.8,-9.41429634352897
3.85,-9.06046592050363
3.9,-8.71424067842951
3.95,-8.37643523714339
4,-8.04835447286247
4.05,-7.73184952589409
4.1,-7.42931142300186
4.15,-7.14358142733029
4.2,-6.87776890235328
4.25,-6.63498931064836
4.3,-6.41806211400935
4.35,-6.22923081247226
4.4,-6.06997309282066
4.45,-5.94095065293497
4.5,-5.84210960302526
4.55,-5.77289874708561
4.6,-5.73254296393073
4.65,-5.72030295526663
4.7,-5.73566867338061
4.75,-5.77846077778989
4.8,-5.84884057294871
4.85,-5.94724686490968
4.9,-6.07428654485937
4.95,-6.23060649629687
5,-6.41677062143682
5.05,-6.63315982660427
5.1,-6.87990622340894
5.15,-7.15686647313837
5.2,-7.46363370700139
5.25,-7.79958325111613
5.3,-8.16394479737543
5.35,-8.55589280180095
5.4,-8.97464761834493
5.45,-9.41958183942518
5.5,-9.89032908057126
5.55,-10.3868956377528
5.6,-10.9097788566579
5.65,-11.4600997216392
5.7,-12.0397614228726
5.75,-12.6516511527034
5.8,-13.2999102060793
5.85,-13.9903093140129
5.9,-14.7307845744594
5.95,-15.5322178233248
6,-16.40958676812
6.05,-17.3836585225323
6.1,-18.4833987271131
6.15,-19.7489180197673
6.2,-21.2326101424136
6.25,-22.9848553222308
6.3,-24.9556955892016
6.35,-26.5691217772337
6.4,-26.2669234516633
6.45,-23.7873103980125
6.5,-20.721659369405
