"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-3.25770536236056
1.55,-3.56292168871457
1.6,-3.89201912519562
1.65,-4.24650950997775
1.7,-4.62753385900776
1.75,-5.03561725040511
1.8,-5.47046358888602
1.85,-5.93081924680506
1.9,-6.41441759362071
1.95,-6.91799626875066
2,-7.43736406104374
2.05,-7.9674910455462
2.1,-8.50260556503789
2.15,-9.03629836332209
2.2,-9.56164019216885
2.25,-10.0712802064579
2.3,-10.5573590153693
2.35,-11.0108306216931
2.4,-11.4196533060819
2.45,-11.7659658384265
2.5,-12.0244891871596
2.55,-12.1663438308206
2.6,-12.1694511090708
2.65,-12.0288206024919
2.7,-11.7581976340754
2.75,-11.3831537906573
2.8,-10.9325944201983
2.85,-10.4337327116846
2.9,-9.91104705687642
2.95,-9.38788109279501
3,-8.88970135275586
3.05,-8.44889366390144
3.1,-8.11159944171667
3.15,-7.94711557193011
3.2,-8.05905483023049
3.25,-8.5939556083886
3.3,-9.74069299092505
3.35,-11.7290770918697
3.4,-14.8956367629701
3.45,-20.0773599385079
3.5,-31.4749680764777
3.55,-27.0700244465132
3.6,-20.161490502306
3.65,-16.8429701419514
3.7,-14.7817278746765
3.75,-13.3395987356311
3.8,-12.2522118380938
3.85,-11.3867653450453
3.9,-10.6689479621672
3.95,-10.0542866685731
4,-9.51492818235791
4.05,-9.03284453611801
4.1,-8.59607294806496
4.15,-8.19652498964679
4.2,-7.82866214930815
4.25,-7.48867279634343
4.3,-7.1739494672422
4.35,-6.88275071863902
4.4,-6.61397865973263
4.45,-6.36703008638686
4.5,-6.14169495007262
4.55,-5.93808544641287
4.6,-5.75658490106168
4.65,-5.59780934781776
4.7,-5.4625771070736
4.75,-5.35188330736183
4.8,-5.26687747119214
4.85,-5.20884320725237
4.9,-5.17917983421326
4.95,-5.17938647371912
5,-5.2110498218255
5.05,-5.27583744482536
5.1,-5.37549903996489
5.15,-5.51187864683467
5.2,-5.6869412975555
5.25,-5.90281808507725
5.3,-6.16187417249329
5.35,-6.46680495058322
5.4,-6.82076645522723
5.45,-7.22754725906846
5.5,-7.69178999823916
5.55,-8.21927021148095
5.6,-8.81723453631813
5.65,-9.49477926578492
5.7,-10.2631857212169
5.75,-11.1359429256528
5.8,-12.1276613361527
5.85,-13.2495992005431
5.9,-14.4954974663221
5.95,-15.8021998320258
6,-16.9624598271848
6.05,-17.5429097019222
6.1,-17.118169257513
6.15,-15.7958277524843
6.2,-14.0719405215357
6.25,-12.319163665774
6.3,-10.7007612765067
6.35,-9.27458512726553
6.4,-8.06248433749247
6.45,-7.07615470618021
6.5,-6.32203738411732
