"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-4.02145502822557
1.55,-4.40344222905762
1.6,-4.81983190582199
1.65,-5.26895342950553
1.7,-5.74959567889852
1.75,-6.26102847788352
1.8,-6.80299092300954
1.85,-7.37564710766815
1.9,-7.97950419085899
1.95,-8.61527957136829
2,-9.28369232922514
2.05,-9.98513807630755
2.1,-10.719185477839
2.15,-11.4838091668124
2.2,-12.2742569144718
2.25,-13.081463112871
2.3,-13.8900145355877
2.35,-14.67592065808
2.4,-15.4049030755718
2.45,-16.032562995238
2.5,-16.5083314094527
2.55,-16.7847815877449
2.6,-16.8313490428126
2.65,-16.6465864244753
2.7,-16.2604311351089
2.75,-15.7237393058929
2.8,-15.0921563983718
2.85,-14.4137554573745
2.9,-13.7240649739677
2.95,-13.0465986197356
3,-12.3957353241154
3.05,-11.7799300976364
3.1,-11.2045387567904
3.15,-10.6743333864326
3.2,-10.1962270907481
3.25,-9.78307928691652
3.3,-9.4596037026885
3.35,-9.26934491427514
3.4,-9.26827333282663
3.45,-9.45277593198139
3.5,-9.61257376798495
3.55,-9.45216488564429
3.6,-8.99475966059722
3.65,-8.45319278398103
3.7,-7.94838137887013
3.75,-7.50879120843615
3.8,-7.12992171853914
3.85,-6.80111065431558
3.9,-6.5129042525738
3.95,-6.25822894435704
4,-6.03207474600903
4.05,-5.83098590219964
4.1,-5.65264593856296
4.15,-5.4955848820468
4.2,-5.35898257580088
4.25,-5.24253917665158
4.3,-5.14639090078555
4.35,-5.07105594081596
4.4,-5.01740049227408
4.45,-4.98661820995475
4.5,-4.98021867291035
4.55,-5.00002200898457
4.6,-5.04815803959774
4.65,-5.12706938989644
4.7,-5.23951914937485
4.75,-5.38860501286273
4.8,-5.57778351834429
4.85,-5.81091017460846
4.9,-6.09230413749791
4.95,-6.42684997455999
5,-6.82015455038975
5.05,-7.27878530469433
5.1,-7.81062937365516
5.15,-8.4254354050012
5.2,-9.13564012314527
5.25,-9.95765766573076
5.3,-10.9139612475511
5.35,-12.0366088694534
5.4,-13.3736060598667
5.45,-15.0013855149006
5.5,-17.0521666182323
5.55,-19.7840367511603
5.6,-23.8072834818089
5.65,-31.0807576735899
5.7,-33.7440539756741
5.75,-25.08992149593
5.8,-20.5738925576185
5.85,-17.6146554482238
5.9,-15.4341023666149
5.95,-13.7232356546249
6,-12.3298729133627
6.05,-11.1685348510461
6.1,-10.1868321349543
6.15,-9.35058501877008
6.2,-8.63637626912214
6.25,-8.02745992604222
6.3,-7.51134436049119
6.35,-7.07828432999815
6.4,-6.72030622795848
6.45,-6.43056948844336
6.5,-6.20295336852603
