"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-6.1303070337546
1.55,-6.74175923555337
1.6,-7.41347902951954
1.65,-8.15033645696592
1.7,-8.95606189157725
1.75,-9.83340889491709
1.8,-10.7845056178999
1.85,-11.8113564802418
1.9,-12.9164421349969
1.95,-14.1033737874847
2,-15.3775833256031
2.05,-16.7470646158269
2.1,-18.2232139611792
2.15,-19.8218347529588
2.2,-21.5643301187198
2.25,-23.4788456349307
2.3,-25.6000043946147
2.35,-27.9613446079612
2.4,-30.55666466874
2.45,-33.1880170726916
2.5,-35.1045302846971
2.55,-35.256215936361
2.6,-33.9536028548645
2.65,-32.2388135549356
2.7,-30.5576162648956
2.75,-28.9706666702358
2.8,-27.4472497017302
2.85,-25.9591848440545
2.9,-24.4985388178459
2.95,-23.0732261191637
3,-21.6982604853747
3.05,-20.3889381775224
3.1,-19.1572813668916
3.15,-18.0109643201573
3.2,-16.9535742925704
3.25,-15.9853937293226
3.3,-15.1042877197716
3.35,-14.3065350932213
3.4,-13.5875636434435
3.45,-12.9425986626662
3.5,-12.3672549741659
3.55,-11.8581217207828
3.6,-11.4134217602428
3.65,-11.0338918968641
3.7,-10.7241661751766
3.75,-10.4952559316848
3.8,-10.3695032343957
3.85,-10.3915814882202
3.9,-10.656214318066
3.95,-11.3911431513154
4,-13.282542749412
4.05,-19.7873777236673
4.1,-17.8329583072536
4.15,-7.92231546121954
4.2,-5.45703523466057
4.25,-4.90971891633633
4.3,-4.81637524241746
4.35,-4.84455033191442
4.4,-4.92112594058396
4.45,-5.03254873591829
4.5,-5.17983354869524
4.55,-5.36719661322953
4.6,-5.59888686989461
4.65,-5.87829488274793
4.7,-6.20779197766229
4.75,-6.58885222410378
4.8,-7.02230937351075
4.85,-7.50868545271663
4.9,-8.04855370455217
4.95,-8.64291068496562
5,-9.2935421310006
5.05,-10.0033752428434
5.1,-10.7768124209667
5.15,-11.6200303779727
5.2,-12.5411866719979
5.25,-13.550360747535
5.3,-14.6587601716608
5.35,-15.8759693381364
5.4,-17.2021559274049
5.45,-18.6080603013954
5.5,-19.990344770867
5.55,-21.1045984076288
5.6,-21.5811283166363
5.65,-21.2090384335201
5.7,-20.1922622082674
5.75,-18.9074013029636
5.8,-17.6105392339926
5.85,-16.4141156436884
5.9,-15.3535473646389
5.95,-14.4327396257417
6,-13.6445086517479
6.05,-12.9784495783487
6.1,-12.4236604860756
6.15,-11.9695400769346
6.2,-11.6059411919296
6.25,-11.3231659974505
6.3,-11.1119664298006
6.35,-10.9635844245027
6.4,-10.8698193277604
6.45,-10.8230989034532
6.5,-10.8165345584984
