"Freq [GHz]","dB(S(P1,P1)) []"
3.3,-12.6516140832041
3.325,-12.7473281725395
3.35,-12.8491604363656
3.375,-12.9574942773816
3.4,-13.0727689157714
3.425,-13.1954849652426
3.45,-13.3262105666341
3.475,-13.4655880492911
3.5,-13.6143410334572
3.525,-13.7732817978298
3.55,-13.943318598835
3.575,-14.1254624176481
3.6,-14.3208322908569
3.625,-14.5306578959577
3.65,-14.7562773313417
3.675,-14.9991269296335
3.7,-15.2607182929955
3.725,-15.5425952796541
3.75,-15.8462600429373
3.775,-16.1730519674933
3.8,-16.5239559716396
