"Freq [GHz]","dB(S(P1,P1)) []"
3.3,-12.7667292777427
3.325,-12.6166429193649
3.35,-12.4725161076086
3.375,-12.3341156558721
3.4,-12.2012392872749
3.425,-12.0737155214219
3.45,-11.9514031937947
3.475,-11.8341906467936
3.5,-11.721994627279
3.525,-11.61475892115
3.55,-11.5124527514361
3.575,-11.4150689628828
3.6,-11.3226220133004
3.625,-11.2351457901841
3.65,-11.1526912703726
3.675,-11.0753240408125
3.7,-11.0031216997881
3.725,-10.9361711601405
3.75,-10.8745658788866
3.775,-10.8184030410138
3.8,-10.7677807288241
