"Freq [GHz]","dB(S(P1,P1)) []","VSWR(P1) []","re(Z(P1,P1)) []","im(Z(P1,P1)) []"
3.3,-12.7667292777427,1.59728774210133,37.1680760753999,-15.8244870666225
3.325,-12.6166429193649,1.61087790443222,36.5492581875219,-15.5699351822932
3.35,-12.4725161076086,1.62428932433784,35.9475118072566,-15.2903762783088
3.375,-12.3341156558721,1.63751257583523,35.36338613845,-14.9873331339054
3.4,-12.2012392872749,1.6505368097744,34.7973225709106,-14.6622237196855
3.425,-12.0737155214219,1.66334945646316,34.2496800842908,-14.3163638424292
3.45,-11.9514031937947,1.67593596920101,33.7207573493742,-13.9509729837711
3.475,-11.8341906467936,1.68827961370778,33.2108114839713,-13.5671825043787
3.5,-11.721994627279,1.70036130819256,32.720073537147,-13.1660454961099
3.525,-11.61475892115,1.71215951864796,32.2487608562649,-12.7485476729016
3.55,-11.5124527514361,1.7236502138004,31.7970865437907,-12.3156187915537
3.575,-11.4150689628828,1.7348068839176,31.3652662417836,-11.8681441832984
3.6,-11.3226220133004,1.74560062728958,30.9535224974321,-11.4069760550045
3.625,-11.2351457901841,1.75600030758143,30.5620869677061,-10.9329442852477
3.65,-11.1526912703726,1.76597278433622,30.191200719029,-10.4468664962252
3.675,-11.0753240408125,1.77548321763498,29.8411128716668,-9.94955722900808
3.7,-11.0031216997881,1.78449544626734,29.5120778303059,-9.44183608848026
3.725,-10.9361711601405,1.79297243673263,29.2043513333793,-8.92453475710692
3.75,-10.8745658788866,1.80087679801227,28.9181855448344,-8.39850280487471
3.775,-10.8184030410138,1.80817135440498,28.653823403554,-7.86461224764376
3.8,-10.7677807288241,1.81481976591184,28.41149243751,-7.32376082879861
