Phi[deg],Theta[deg],dB(GainTotal)
0,0,-4.82479
0,5,-4.97636
0,10,-4.81645
0,15,-4.36732
0,20,-3.73268
0,25,-3.03877
0,30,-2.38559
0,35,-1.8315
0,40,-1.39538
0,45,-1.06378
0,50,-0.80106
0,55,-0.564597
0,60,-0.322253
0,65,-0.0643342
0,70,0.196749
0,75,0.436784
0,80,0.631309
0,85,0.762249
0,90,0.819447
0,95,0.800002
0,100,0.708025
0,105,0.555642
0,110,0.363951
0,115,0.161044
0,120,-0.0257363
0,125,-0.182842
0,130,-0.322723
0,135,-0.48651
0,140,-0.733601
0,145,-1.12287
0,150,-1.69304
0,155,-2.44646
0,160,-3.33636
0,165,-4.25695
0,170,-5.04161
0,175,-5.49106
0,180,-5.4606
5,0,-4.82479
5,5,-4.94085
5,10,-4.6992
5,15,-4.13826
5,20,-3.39496
5,25,-2.62079
5,30,-1.92404
5,35,-1.35967
5,40,-0.938675
5,45,-0.639074
5,50,-0.417741
5,55,-0.225794
5,60,-0.0260991
5,65,0.194676
5,70,0.426214
5,75,0.644891
5,80,0.825709
5,85,0.949498
5,90,1.00498
5,95,0.988525
5,100,0.904176
5,105,0.764704
5,110,0.592281
5,115,0.415773
5,120,0.261921
5,125,0.141491
5,130,0.0372445
5,135,-0.0975371
5,140,-0.327323
5,145,-0.714936
5,150,-1.30199
5,155,-2.09274
5,160,-3.04087
5,165,-4.03809
5,170,-4.90938
5,175,-5.43865
5,180,-5.4606
10,0,-4.82479
10,5,-4.89488
10,10,-4.55071
10,15,-3.86365
10,20,-3.01336
10,25,-2.17271
10,30,-1.45018
10,35,-0.892258
10,40,-0.500705
10,45,-0.246234
10,50,-0.0801878
10,55,0.0511963
10,60,0.190228
10,65,0.355504
10,70,0.540864
10,75,0.724753
10,80,0.882208
10,85,0.992881
10,90,1.04408
10,95,1.03128
10,100,0.95848
10,105,0.8393
10,110,0.697126
10,115,0.561421
10,120,0.457677
10,125,0.392855
10,130,0.343917
10,135,0.25791
10,140,0.0650439
10,145,-0.301652
10,150,-0.887409
10,155,-1.7003
10,160,-2.69796
10,165,-3.7739
10,170,-4.74651
10,175,-5.37572
10,180,-5.4606
15,0,-4.82479
15,5,-4.84024
15,10,-4.38142
15,15,-3.56907
15,20,-2.62766
15,25,-1.74221
15,30,-1.01328
15,35,-0.475341
15,40,-0.120569
15,45,0.0863832
15,50,0.197653
15,55,0.269626
15,60,0.347974
15,65,0.455774
15,70,0.59134
15,75,0.736116
15,80,0.86613
15,85,0.960544
15,90,1.00565
15,95,0.996164
15,100,0.936009
15,105,0.839324
15,110,0.730159
15,115,0.637938
15,120,0.586566
15,125,0.579558
15,130,0.589158
15,135,0.55753
15,140,0.410553
15,145,0.0773524
15,150,-0.491514
15,155,-1.30952
15,160,-2.3412
15,165,-3.48675
15,170,-4.56295
15,175,-5.30426
15,180,-5.4606
20,0,-4.82479
20,5,-4.77896
20,10,-4.2013
20,15,-3.27542
20,20,-2.26607
20,25,-1.35975
20,30,-0.642925
20,35,-0.136097
20,40,0.178236
20,45,0.340739
20,50,0.40553
20,55,0.42926
20,60,0.458093
20,65,0.51712
20,70,0.607959
20,75,0.715337
20,80,0.817423
20,85,0.894202
20,90,0.931945
20,95,0.925066
20,100,0.877245
20,105,0.802404
