"Theta [deg]","dB(GainTotal) [] - Freq='3.55GHz' Phi='0deg'"
0,-4.82478962384804
5,-4.97635623141484
10,-4.8164466328078
15,-4.36731990266291
20,-3.73268284246272
25,-3.03876689710257
30,-2.38559283145451
35,-1.83149538956232
40,-1.39538326699746
45,-1.06377717160356
50,-0.801060493891368
55,-0.564597208123729
60,-0.322252808516308
65,-0.0643341704087211
70,0.19674871308014
75,0.436783587175316
80,0.631308619057476
85,0.762248891962316
90,0.819447484277785
95,0.800001989502983
100,0.708025048431546
105,0.555641893305126
110,0.363950586644862
115,0.161043906039463
120,-0.0257363029148856
125,-0.182841624166764
130,-0.322722990219447
135,-0.48650953351747
140,-0.733600993119631
145,-1.12287064782144
150,-1.69304347451435
155,-2.44646284768313
160,-3.33635582123547
165,-4.25695153815729
170,-5.04161181046239
175,-5.49106497384339
180,-5.46059923143437
