Theta[deg],Phi[deg],dB(GainTotal)
0,0,-4.82479
5,0,-4.97636
10,0,-4.81645
15,0,-4.36732
20,0,-3.73268
25,0,-3.03877
30,0,-2.38559
35,0,-1.8315
40,0,-1.39538
45,0,-1.06378
50,0,-0.80106
55,0,-0.564597
60,0,-0.322253
65,0,-0.0643342
70,0,0.196749
75,0,0.436784
80,0,0.631309
85,0,0.762249
90,0,0.819447
95,0,0.800002
100,0,0.708025
105,0,0.555642
110,0,0.363951
115,0,0.161044
120,0,-0.0257363
125,0,-0.182842
130,0,-0.322723
135,0,-0.48651
140,0,-0.733601
145,0,-1.12287
150,0,-1.69304
155,0,-2.44646
160,0,-3.33636
165,0,-4.25695
170,0,-5.04161
175,0,-5.49106
180,0,-5.4606
0,5,-4.82479
5,5,-4.94085
10,5,-4.6992
15,5,-4.13826
20,5,-3.39496
25,5,-2.62079
30,5,-1.92404
35,5,-1.35967
40,5,-0.938675
45,5,-0.639074
50,5,-0.417741
55,5,-0.225794
60,5,-0.0260991
65,5,0.194676
70,5,0.426214
75,5,0.644891
80,5,0.825709
85,5,0.949498
90,5,1.00498
95,5,0.988525
100,5,0.904176
105,5,0.764704
110,5,0.592281
115,5,0.415773
120,5,0.261921
125,5,0.141491
130,5,0.0372445
135,5,-0.0975371
140,5,-0.327323
145,5,-0.714936
150,5,-1.30199
155,5,-2.09274
160,5,-3.04087
165,5,-4.03809
170,5,-4.90938
175,5,-5.43865
180,5,-5.4606
0,10,-4.82479
5,10,-4.89488
10,10,-4.55071
15,10,-3.86365
20,10,-3.01336
25,10,-2.17271
30,10,-1.45018
35,10,-0.892258
40,10,-0.500705
45,10,-0.246234
50,10,-0.0801878
55,10,0.0511963
60,10,0.190228
65,10,0.355504
70,10,0.540864
75,10,0.724753
80,10,0.882208
85,10,0.992881
90,10,1.04408
95,10,1.03128
100,10,0.95848
105,10,0.8393
110,10,0.697126
115,10,0.561421
120,10,0.457677
125,10,0.392855
130,10,0.343917
135,10,0.25791
140,10,0.0650439
145,10,-0.301652
150,10,-0.887409
155,10,-1.7003
160,10,-2.69796
165,10,-3.7739
170,10,-4.74651
175,10,-5.37572
180,10,-5.4606
0,15,-4.82479
5,15,-4.84024
10,15,-4.38142
15,15,-3.56907
20,15,-2.62766
25,15,-1.74221
30,15,-1.01328
35,15,-0.475341
40,15,-0.120569
45,15,0.0863832
50,15,0.197653
55,15,0.269626
60,15,0.347974
65,15,0.455774
70,15,0.59134
75,15,0.736116
80,15,0.86613
85,15,0.960544
90,15,1.00565
95,15,0.996164
100,15,0.936009
105,15,0.839324
110,15,0.730159
115,15,0.637938
120,15,0.586566
125,15,0.579558
130,15,0.589158
135,15,0.55753
140,15,0.410553
145,15,0.0773524
150,15,-0.491514
155,15,-1.30952
160,15,-2.3412
165,15,-3.48675
170,15,-4.56295
175,15,-5.30426
180,15,-5.4606
0,20,-4.82479
5,20,-4.77896
10,20,-4.2013
15,20,-3.27542
20,20,-2.26607
25,20,-1.35975
30,20,-0.642925
35,20,-0.136097
40,20,0.178236
45,20,0.340739
50,20,0.40553
55,20,0.42926
60,20,0.458093
65,20,0.51712
70,20,0.607959
75,20,0.715337
80,20,0.817423
85,20,0.894202
90,20,0.931945
95,20,0.925066
100,20,0.877245
105,20,0.802404
110,20,0.724143
115,20,0.670901
120,20,0.664944
125,20,0.707653
130,20,0.768936
135,20,0.788499
140,20,0.689428
145,20,0.397311
150,20,-0.142058
155,20,-0.94875
160,20,-1.99636
165,20,-3.19572
170,20,-4.36831
175,20,-5.22645
180,20,-5.4606
0,25,-4.82479
5,25,-4.71311
10,25,-4.01912
15,25,-2.99806
20,25,-1.94624
25,25,-1.04228
30,25,-0.354826
35,25,0.110457
40,25,0.380895
45,25,0.502369
50,25,0.530247
55,25,0.519592
60,25,0.514108
65,25,0.537718
70,25,0.593186
75,25,0.668062
80,25,0.743621
85,25,0.802235
90,25,0.831518
95,25,0.82628
100,25,0.78979
105,25,0.734826
110,25,0.683262
115,25,0.661644
120,25,0.69086
125,25,0.771936
130,25,0.875159
135,25,0.940278
140,25,0.888981
145,25,0.643526
150,25,0.144416
155,25,-0.635853
160,25,-1.68113
165,25,-2.91557
170,25,-4.17116
175,25,-5.14453
180,25,-5.4606
0,30,-4.82479
5,30,-4.64475
10,30,-3.84205
15,30,-2.7472
20,30,-1.67763
25,30,-0.7973
30,30,-0.155482
35,30,0.257124
40,30,0.477925
45,30,0.558451
50,30,0.555345
55,30,0.521071
60,30,0.494626
65,30,0.495849
70,30,0.526171
75,30,0.574803
80,30,0.626419
85,30,0.666932
90,30,0.686563
95,30,0.681288
100,30,0.653994
