"Freq [GHz]","re(Z(P1,P1)) []","im(Z(P1,P1)) []","mag(Z(P1,P1)) []"
3.3,37.1680760753999,-15.8244870666225,40.3965378475485
3.325,36.5492581875219,-15.5699351822932,39.7274609764952
3.35,35.9475118072566,-15.2903762783088,39.0642958705916
3.375,35.36338613845,-14.9873331339054,38.4081922725319
3.4,34.7973225709106,-14.6622237196855,37.7602232846962
3.425,34.2496800842908,-14.3163638424292,37.1214070253955
3.45,33.7207573493742,-13.9509729837711,36.4927269933241
3.475,33.2108114839713,-13.5671825043787,35.8751507387914
3.5,32.720073537147,-13.1660454961099,35.2696465290191
3.525,32.2487608562649,-12.7485476729016,34.6771977606728
3.55,31.7970865437907,-12.3156187915537,34.0988149191755
3.575,31.3652662417836,-11.8681441832984,33.5355449154107
3.6,30.9535224974321,-11.4069760550045,32.9884776508175
3.625,30.5620869677061,-10.9329442852477,32.4587496765658
3.65,30.191200719029,-10.4468664962252,31.9475448265849
3.675,29.8411128716668,-9.94955722900808,31.4560917227945
3.7,29.5120778303059,-9.44183608848026,30.9856580789204
3.725,29.2043513333793,-8.92453475710692,30.5375417713061
3.75,28.9181855448344,-8.39850280487471,30.1130587049698
3.775,28.653823403554,-7.86461224764376,29.7135275833727
3.8,28.41149243751,-7.32376082879861,29.3402517917644
