case,variables,seconds,points,max_s11_db,max_s11_freq_ghz,min_s11_db,min_s11_freq_ghz,s11_3p30_db,s11_3p40_db,s11_3p50_db,s11_3p60_db,s11_3p70_db,s11_3p80_db,below10_start_ghz,below10_stop_ghz,below10_span_ghz,csv
base_Lg16_Wp30_Lp24,"{'Lg': '16mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",27.77,11,-13.134550,3.300000,-20.203121,3.800000,-13.134550,-14.132381,-15.431194,-17.112014,-19.064466,-20.203121,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\base_Lg16_Wp30_Lp24_S11.csv
Lg12_patch30x24,"{'Lg': '12mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.13,11,-5.145060,3.300000,-5.625888,3.800000,-5.145060,-5.199734,-5.266383,-5.352077,-5.467469,-5.625888,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg12_patch30x24_S11.csv
Lg14_patch30x24,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.88,11,-7.421166,3.300000,-9.001379,3.800000,-7.421166,-7.613881,-7.849172,-8.145178,-8.523703,-9.001379,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg14_patch30x24_S11.csv
Lg18_patch30x24,"{'Lg': '18mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.51,11,-8.800658,3.800000,-17.470206,3.300000,-17.470206,-15.202753,-13.249586,-11.549506,-10.071089,-8.800658,3.3,3.7,0.400000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg18_patch30x24_S11.csv
Lg20_patch30x24,"{'Lg': '20mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.13,11,-3.946229,3.800000,-6.453420,3.300000,-6.453420,-5.855942,-5.297992,-4.789718,-4.337582,-3.946229,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\Lg20_patch30x24_S11.csv
wide_patch34_Lg14,"{'Lg': '14mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.22,11,-6.437472,3.300000,-6.826546,3.800000,-6.437472,-6.456264,-6.490875,-6.555189,-6.664091,-6.826546,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\wide_patch34_Lg14_S11.csv
wide_patch34_Lg16,"{'Lg': '16mm', 'Wp': '34mm', 'Lp': '24mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.75,11,-11.460785,3.800000,-11.707382,3.550000,-11.529749,-11.635199,-11.695343,-11.705206,-11.643140,-11.460785,3.3,3.8,0.500000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\wide_patch34_Lg16_S11.csv
long_patch30x27_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '27mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.42,11,-8.601517,3.300000,-10.100722,3.800000,-8.601517,-8.954197,-9.301307,-9.626253,-9.905269,-10.100722,3.75,3.8,0.050000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\long_patch30x27_Lg14_S11.csv
short_patch30x21_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '21mm', 'Wf': '4.8mm', 'Wgn': '12mm', 'Ngd': '4mm'}",26.61,11,-5.998012,3.300000,-7.146338,3.800000,-5.998012,-6.072150,-6.201147,-6.405197,-6.710609,-7.146338,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\short_patch30x21_Lg14_S11.csv
feed42_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '4.2mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.65,11,-7.542314,3.300000,-9.314043,3.800000,-7.542314,-7.804740,-8.105508,-8.456499,-8.864566,-9.314043,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\feed42_Lg14_S11.csv
feed54_Lg14,"{'Lg': '14mm', 'Wp': '30mm', 'Lp': '24mm', 'Wf': '5.4mm', 'Wgn': '12mm', 'Ngd': '4mm'}",25.60,11,-7.906806,3.300000,-10.127658,3.800000,-7.906806,-8.155780,-8.475156,-8.887476,-9.425378,-10.127658,,,0.000000,C:\Users\Administrator\Documents\New project\hfss_scratch_monopole\feed54_Lg14_S11.csv
