                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 1.6448,                 1.6557,                0.45003,                0.93711,             0.00098763
                      1,                 1.3287,                 1.6207,                0.42138,                0.96017,             0.00097525
                      2,                 1.0703,                  1.744,                0.43396,                0.90566,             0.00096288
                      3,                0.83225,                 1.6921,                0.43466,                 0.9399,              0.0009505
                      4,                 0.6869,                  1.609,                0.50734,                0.93431,             0.00093813
                      5,                0.57648,                 1.5941,                0.50245,                0.92173,             0.00092575
                      6,                0.52217,                 1.5761,                0.49336,                0.92942,             0.00091337
                      7,                0.49866,                 1.5236,                0.51852,                0.92732,               0.000901
                      8,                0.48436,                 1.5019,                0.51922,                0.92593,             0.00088862
                      9,                0.48306,                 1.5148,                0.51712,                0.93431,             0.00087625
                     10,                0.47694,                 1.5326,                0.51153,                0.92732,             0.00086388
                     11,                0.47341,                 1.5249,                0.52341,                0.92662,              0.0008515
                     12,                0.47143,                 1.5249,                 0.5283,                0.92523,             0.00083913
                     13,                0.46938,                  1.485,                0.52271,                0.92872,             0.00082675
                     14,                0.46681,                 1.4955,                0.53319,                0.92802,             0.00081437
                     15,                0.46638,                 1.4979,                0.52201,                0.92872,               0.000802
                     16,                0.46475,                 1.5007,                0.51433,                0.93082,             0.00078963
                     17,                0.46576,                 1.4948,                0.51992,                0.92872,             0.00077725
                     18,                0.46674,                 1.4879,                0.51992,                0.93082,             0.00076488
                     19,                0.46405,                 1.4948,                0.52271,                0.93152,              0.0007525
                     20,                0.46356,                 1.4995,                0.52411,                0.92662,             0.00074013
                     21,                0.46445,                 1.4753,                 0.5311,                0.93012,             0.00072775
                     22,                0.46617,                  1.477,                0.52131,                0.92872,             0.00071537
                     23,                0.46507,                 1.5108,                 0.5283,                0.92942,               0.000703
                     24,                0.46367,                 1.5021,                0.51712,                0.93082,             0.00069063
                     25,                0.46238,                 1.4636,                  0.529,                0.93291,             0.00067825
