epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.6147,1.86227,0.35933,0.91214,1.66882,0.000328042,0.000328042,0.0675238
2,31.0168,1.65933,0.35735,0.91412,1.64026,0.000661123,0.000661123,0.0345236
3,46.4434,1.50744,0.4541,0.95755,1.42322,0.000993191,0.000993191,0.00152229
4,62.6232,1.44177,0.45805,0.95558,1.401,0.000996569,0.000996569,0.000996569
5,78.4619,1.35989,0.51431,0.96051,1.28845,0.000993906,0.000993906,0.000993906
6,94.5839,1.30434,0.49654,0.96347,1.31897,0.000990489,0.000990489,0.000990489
7,110.826,1.25816,0.54788,0.97039,1.22888,0.000986323,0.000986323,0.000986323
8,127.041,1.22806,0.50839,0.97137,1.29077,0.000981415,0.000981415,0.000981415
9,143.549,1.18306,0.54097,0.95755,1.23865,0.000975773,0.000975773,0.000975773
10,160.291,1.14828,0.54294,0.97137,1.2533,0.000969405,0.000969405,0.000969405
11,176.686,1.11383,0.54689,0.97039,1.224,0.00096232,0.00096232,0.00096232
12,192.961,1.08674,0.52419,0.96545,1.3866,0.000954531,0.000954531,0.000954531
13,209.264,1.0851,0.5311,0.97039,1.22864,0.000946048,0.000946048,0.000946048
14,225.623,1.05609,0.50049,0.97236,1.33472,0.000936886,0.000936886,0.000936886
15,241.769,1.0068,0.5538,0.97532,1.2063,0.000927057,0.000927057,0.000927057
16,257.858,1.00331,0.52715,0.9773,1.25928,0.000916577,0.000916577,0.000916577
17,274.547,0.96613,0.55084,0.96644,1.2207,0.000905463,0.000905463,0.000905463
18,290.957,0.94428,0.54886,0.97631,1.29712,0.000893732,0.000893732,0.000893732
19,307.809,0.95951,0.53702,0.96644,1.34888,0.000881401,0.000881401,0.000881401
20,324.966,0.89916,0.53603,0.97433,1.32349,0.00086849,0.00086849,0.00086849
21,342.473,0.85164,0.56861,0.97631,1.2854,0.000855018,0.000855018,0.000855018
22,359.018,0.86704,0.55676,0.97335,1.34058,0.000841006,0.000841006,0.000841006
23,375.533,0.84043,0.55775,0.97631,1.33069,0.000826477,0.000826477,0.000826477
24,392.313,0.80933,0.57157,0.9773,1.25146,0.000811452,0.000811452,0.000811452
25,409.241,0.79912,0.5617,0.97532,1.30627,0.000795954,0.000795954,0.000795954
26,425.522,0.77635,0.55084,0.97335,1.28662,0.000780007,0.000780007,0.000780007
27,442.194,0.74975,0.55577,0.97433,1.36047,0.000763637,0.000763637,0.000763637
28,458.843,0.73878,0.56565,0.97828,1.29578,0.000746868,0.000746868,0.000746868
29,475.27,0.72695,0.56663,0.9773,1.31403,0.000729725,0.000729725,0.000729725
30,491.953,0.69372,0.57651,0.98223,1.32739,0.000712237,0.000712237,0.000712237
31,508.509,0.67365,0.54492,0.97532,1.49194,0.000694428,0.000694428,0.000694428
32,525.061,0.63799,0.57256,0.97433,1.36877,0.000676328,0.000676328,0.000676328
33,541.538,0.6122,0.57749,0.97335,1.36536,0.000657963,0.000657963,0.000657963
34,557.924,0.60352,0.58342,0.98026,1.40674,0.000639363,0.000639363,0.000639363
35,574.556,0.58823,0.56269,0.97927,1.50024,0.000620555,0.000620555,0.000620555
36,590.928,0.55843,0.55775,0.97631,1.43494,0.00060157,0.00060157,0.00060157
37,607.633,0.56617,0.56466,0.97433,1.44141,0.000582435,0.000582435,0.000582435
38,624.389,0.56886,0.57453,0.97039,1.49524,0.000563181,0.000563181,0.000563181
39,640.745,0.54717,0.57256,0.9773,1.46594,0.000543837,0.000543837,0.000543837
40,658.434,0.52218,0.56762,0.97631,1.4884,0.000524434,0.000524434,0.000524434
41,675.275,0.4846,0.57058,0.97631,1.5332,0.000505,0.000505,0.000505
